Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
OLX,Gurgaon,5 - 8 ,"Develop and implement data mining solutions to fit business problems. Identify, design and implement internal process improvements: automating manual processes,……",162,5,8,6.5
Revolo Infotech,Mumbai,20 - 25 ,"Bachelor's degree or higher in a relevant field (e.g., Computer Science, Statistics, Mathematics, or related disciplines). Data science: 7 years (Required).…",157,20,25,22.5
CoStrategix,Bengaluru,4 - 7 ,Ability to understand the business domain and determine business impact due to data issues. Experience -3-5 years of prior experience having worked on data……,157,4,7,5.5
Consilium Software,New Delhi,5 - 8 ,"Study and transform data science prototypes. Understanding of data structures, data modeling and software architecture.…",120,5,8,6.5
UST,Thiruvananthapuram,3 - 4 ,Work with stakeholders throughout the organization to identify opportunities for leveraging data from our customers to create models that can generate business……,161,3,4,3.5
Retransform,Mumbai,1 ,Department: Technology Job Type: Full Time Preferred Job Location: Mumbai Number of Vacancies: 1 Total Experience: 4+ Years Skills Required Data Science……,154,1,1,1.0
United Airlines,Gurgaon,1 ,"Propose and develop innovative solution approaches based on scientific research or empirical studies. Uniting the world."" drives us to be the best airline for……",160,1,1,1.0
Tech mahindra,Hyderābād,4 - 7 ,"""Experience in Data exploration using statistical models and techniques to identify patterns, trends, and correlations Experience in Data Collection and……",154,4,7,5.5
PepsiCo,Hyderābād,9 - 10 ,This is going to be a technical role however needs to have good functional (CPG/Retail) inclinational for supporting better solution design and developing……,156,9,10,9.5
Teks Academy,Hyderābād,6 ,"As the Training Head for Data Science, you will be responsible for planning, developing, and delivering training programs to equip employees with the skills and……",162,6,6,6.0
Microsoft,Hyderābād,2 - 9 ,"Leads broad governance and rhythm of the business processes that ensure cross-group collaboration, discussion of key issues, and an opportunity to build……",154,2,9,5.5
Aml Rightsource Llc,Noida,4 - 6 ,"Using a blend of highly trained anti-financial crime professionals, cutting-edge technology tools, and industry-leading consultants, we help clients with their……",161,4,6,5.0
AgileInfoways,Ahmedabad,2 - 3 ,Should have experience in data gathering through various data directories. Familiarity with web design and marketing trends.…,125,2,3,2.5
Pipluspi,India,1 - 3 ,The Data Engineer will work closely with the data science and analytics team to implement data solutions that support business objectives.…,139,1,3,2.0
Taiyo.Ai,Remote,5 - 7 ,Understand business drivers and derive insights through data. Monitor data sanity and ensure data availability and reliability.…,128,5,7,6.0
ThreatXintel,Remote,5 - 6 ,"The role involves designing, optimizing, and maintaining our vector databases, using Neo4j, to provide more efficient and accurate solutions to our clients.…",157,5,6,5.5
Wipro Limited,Hyderābād,3 - 8 ,Deliver client projects and gain trust of client. Collaborate with different colleges and institutes for researchinitiatives and provide data science courses.…,159,3,8,5.5
Xplor,Pune,5 - 8 ,"Understanding of data governance practices, data lineage, and data quality management to ensure accurate, consistent, and reliable data.…",137,5,8,6.5
Tiju's Academy Pvt. Ltd.,Māvelikara,40 ,"Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible……",161,40,40,40.0
Appson Technologies,Bengaluru,1 ,Client needs someone who has completed data pipeline / data engineering work within parts of the Modern Data Stack. Total work: 8 years (Preferred).…,149,1,1,1.0
Komodo Health,Chennai,3 - 9 ,Experience working in a research team collaborating with subject-matter experts on epidemiological research studies. Published manuscripts using claims data.…,158,3,9,6.0
INT9 Solutions,Remote,6 ,"As a key member of the team, you will collaborate closely with the Master Data Operations Manager in developing and maintaining customer master data business……",159,6,6,6.0
PharmaACE,Pune,6 - 10 ,"As an Associate Consultant/Consultant, you are expected to the manage onshore / client communication and mentor a team of analysts.…",132,6,10,8.0
DataEconomy,Hyderābād,5 - 7 ,Keep current with technical and industry developments. Collaborate with product design and engineering teams to develop an understanding of needs.…,147,5,7,6.0
METRO/MAKRO,Pune,5 - 7 ,"Collaborate with data scientists, analysts, and developers to ensure that our data pipeline meets their needs. Experience with big data technologies is plus.…",158,5,7,6.0
PepsiCo,Hyderābād,2 ,"Delivering high-quality, coherent, and insightful solutions that address business needs by developing integrated data models and engineering end-to-end data……",158,2,2,2.0
Tata Elxsi,Bengaluru,2 ,"Leveraging a broad range of data architecture strategies and proposing data flows and storage solutions. Build, design and implement a highly scalable, fault……",159,2,2,2.0
Lenskart,Gurgaon,5 - 9 ,"Identify key metrics, conduct rigorous exploratory data analysis, create executive facing dashboards and build business cases that drive decision making and……",158,5,9,7.0
CADDCENTRE TRAINING SERVICE PVT LTD,India,20 - 25 ,Post: Data science and business analytics faculty (Part Time) (Weekends). Expected hours: No less than 10 per week. Total work: 1 year (Preferred).…,148,20,25,22.5
Moonpreneur,Gurgaon,3 - 5 ,Bachelor’s degree in science/technology or higher education. Make sure that marketing data sheets are up to date and all customer data is getting into the CRM……,160,3,5,4.0
Certara,Secunderābād,3 - 5 ,"Knowledge of statistics, data management tools like R is an added advantage. Basic understanding of Information science, Systematic Literature review, Health……",159,3,5,4.0
Edwards India Private Ltd,Pune,5 - 10 ,A good understanding of how data solutions satisfy business requirements and the consequences of sub-optimal design. Familiaity with Python or R.…,146,5,10,7.5
Anblicks,Hyderābād,6 - 8 ,"At least 2 years of experience in data science in rolling out production grade solutions to end customers. Total of 3-5 years of Big Data, Business Intelligence……",162,6,8,7.0
Tops infosolutions Pvt Ltd,Ahmedabad,30 ,"2+ years of work experience in the fields of information science, data management and/or computer science. Able to perform data enrichment/enhancements; data……",159,30,30,30.0
Ericsson,Noida,4 - 9 ,Find probable features and further needs of inputs Feature engineering and feature selection or engineering network architecture Selection of hypothesis set and……,162,4,9,6.5
Brandmuscle,Bengaluru,6 - 8 ,Working with business stakeholders to define and ideate data science based solutions to existing business problems.…,116,6,8,7.0
TMI Group,New Delhi,10 - 12 ,"Passionate about new technology trends in managed services & aviation industry. This is an entry level position, with experience from 0 to 1 year.…",147,10,12,11.0
Ambee,Bengaluru,5 - 8 ,"If you are that person and want to join Ambee for a specific role, then write to us at hr@getambee.com. Extend the company’s data with third-party sources of……",159,5,8,6.5
Shreejan Associates,Bengaluru,4 - 6 ,Proven experience in data creation and manipulation using Excel and other data processing tools. We are seeking a highly organized and detail-oriented Data……,157,4,6,5.0
Deliveroo,Hyderābād,5 - 10 ,Excellent people skills — you'll be meeting with stakeholders to translate business needs into data science problems.…,118,5,10,7.5
PayU,Bengaluru,2 - 8 ,"Your primary focus will be to propose innovative ways utilizing various data sources and analytics to look at the problems by applying data mining techniques,……",160,2,8,5.0
Nielsen,Mumbai,4 - 6 ,"Evolving client needs, underlying data, and their data science skills to apply the latest methodologies. Transformations in the market research industry with……",159,4,6,5.0
Enlyft,Pune,5 - 7 ,"Our machine learning based models work by combining data from our customer's CRM with our proprietary technological graph and firmographic data, and reliably……",159,5,7,6.0
Ignitho,Chennai,7 - 10 ,"Strongly prefer Computer Science Graduates - BE, MCA, ME related to Information Technology. Good knowledge on Program Design, develop and building software……",157,7,10,8.5
Citi,Bengaluru,4 - 5 ,"USPBA – Data Science team analyzes millions of prospects and billions of customer level transactions using big data tools and machine learning, AI techniques to……",162,4,5,4.5
Experian,Hyderābād,6 - 8 ,Configuration of the product to deliver excellent client outcomes. The delivery analyst will work from requirements from the client and interpret these and……,157,6,8,7.0
Milliman,Gurgaon,3 - 4 ,"Through our powerful combination of subject matter expertise, data management, and advanced analytics, we provide our clients with tools to analyze their……",155,3,4,3.5
Kpro Solutions,Bengaluru,5 - 8 ,"Minimum of 9 years- experience using data science and modelling tools such as SAS, SPSS, Python or R against large data sets, with demonstrable expert-level……",158,5,8,6.5
T-Systems ICT India Pvt. Ltd.,Pune,4 - 8 ,"Stay up to date with the latest AI trends and technologies, incorporating them into project development. Create robust and efficient Python code for various……",158,4,8,6.0
Propellum Infotech Private Limited.,India,10 ,"Knowledge of *HTML an added advantage*. Must have *excellent verbal and written communication skills*. Work closely with development, product management, and……",159,10,10,10.0
Smart Ship,Pune,5 - 10 ,"Formulates and leads guided, multifaceted analytic studies against large volumes of data. Experiments against data points, provide information based on……",153,5,10,7.5
MARGDARSHAK,Tīra Sujānpur,12 ,It's a educational institute so that Faculty have to be full-timer and should be good in practicals.…,101,12,12,12.0
Technix Technology Pvt. Ltd,Patna Rural,4 - 10 ,"The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data……",161,4,10,7.0
Tata Insights and Quants,Jamshedpur,10 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……",158,10,10,10.0
IronList,Ahmedabad,3 - 8 ,"Interpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection systems, data analytics……",162,3,8,5.5
Astegic,Jaipur,4 - 5 ,"The data analyst will follow an agile iterative development methodology with a focus on innovation, data quality, user value, and robust data analysis.…",152,4,5,4.5
Xplor,Pune,5 - 8 ,"Responsibilities include designing, creating, and maintaining business intelligence assets and reports that drive innovation, client value and business……",153,5,8,6.5
Fortrea,Pune,3 - 4 ,O Data entry of safety data onto adverse event tracking systems.  Perform case intake and triage of the incoming safety information or reports from various……,158,3,4,3.5
IT education centre,Pune,15 - 18 ,"Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required).…",93,15,18,16.5
HR CLICK,India,10 - 25 ,Stay informed about industry trends and emerging technologies in data analysis. The Data Analyst will play a key role in providing actionable insights that……,157,10,25,17.5
Transorg Analytics,Gurgaon,7 - 10 ,Executing the data-driven planning process by building models and frameworks that connect business unit drivers to company financials and forecast to take the……,160,7,10,8.5
Genpact,Calcutta,3 - 7 ,There’s further scope to support more ad hoc requests like offering insightful decision support and producing competitor intelligence.…,135,3,7,5.0
JPMorgan Chase & Co,Bengaluru,4 - 8 ,As a Client Data Associate in the Wholesale KYC Operations Data & Reporting Team you will be part of a high performing team of data management professionals……,158,4,8,6.0
LanceTech Solutions Pvt Ltd,Bengaluru,15 - 20 ,"Determines the appropriate design for ETL applications based on information gathered including data sources, data targets, data definitions, data relationships,……",162,15,20,17.5
Eoraa & Co.,New Delhi,3 - 7 ,Proficient with Python/R. Strong communication and presentation skills. Knowledge of various analytical approaches.…,116,3,7,5.0
Prime Services Private Limited,Indore,10 - 14 ,Collaborate with cross-functional teams to deliver data solutions. DATA ENGINEER: 3 years (Preferred). Automate data workflows for efficiency.…,143,10,14,12.0
AiDash,Gurgaon,7 - 9 ,We build solutions that provide meaningful insights into customer environments and help them take intelligent decisions and initiatives to save millions of……,157,7,9,8.0
WSD Consultant,Bengaluru,5 - 8 ,"About Company Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working……",159,5,8,6.5
Webandcraft,Thrissur,3 - 7 ,You will work closely with cross-functional teams to develop and deploy data science solutions that contribute to the achievement of our business goals.…,153,3,7,5.0
Emerging India Group,Noida,30 - 50 ," Candidate must have 3+years’ experience of working on Machine learning, Deep Learning, and Artificial Intelligence tools in the industry.…",140,30,50,40.0
DataSturdy Consulting Private Limited,Bengaluru,6 ,"Monitoring AI Solution Effectiveness:*Continuously monitoring the accuracy and effectiveness of deployed AI solutions, ensuring optimal performance over time.…",159,6,6,6.0
Phygital Insights,Bengaluru,5 - 8 ,Expert level knowledge of Python (for data science). Data scientist with good experience on modelling and data processing using scala spark/pyspark.…,149,5,8,6.5
Mastercard,Pune,1 - 3 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……",160,1,3,2.0
Unilever,Bengaluru,10 ,Build workflows for data analysis of omics data using the best-in-class packages available. Interested to develop knowledge and understanding of current and……,158,10,10,10.0
Prepladder,Chandigarh,5 - 9 ,Maintain raw data to ensure all information is readily available when required. Experience in data models and reporting packages.…,130,5,9,7.0
Codnext IT Services,Bengaluru,8 - 16 ,"Collaborate with other data scientists, product owners, and business/engineering teams to turn data into valuable and actionable insights for our customers.…",157,8,16,12.0
AXA,Gurgaon,5 - 10 ,The successful candidate will exhibit strict adherence to corporate standards for secure platform design and data access and show a commitment to best practices……,162,5,10,7.5
Alcon,Bengaluru,6 - 7 ,"If you have encountered a job posting or been approached with a job offer that you suspect may be fraudulent, we strongly recommend you do not respond, send……",158,6,7,6.5
Blue Data Consulting,Delhi,40 - 60 ,How many years of experience do you have working as Sr. Data Scientist? Collaborate with cross-functional teams to integrate data science solutions into cloud……,160,40,60,50.0
Flexday,Hyderābād,3 - 6 ,"As a Data Science Developer, you will be responsible for developing and implementing machine learning models and data-driven solutions.…",136,3,6,4.5
Intelligence Node Consulting,Mumbai,10 ,"A minimum of 3-9 years of experience in Data Science with a strong understanding of Python and its data science libraries such as NumPy, Pandas, and Scikit……",157,10,10,10.0
MMStartup,Chennai,2 ,Proven track record of working with large datasets and delivering data-driven solutions. Experience in data manipulation and cleaning.…,135,2,2,2.0
Air India,Gurgaon,5 - 7 ,We are seeking a skilled data scientist with 10-15 years of experience to join our team. The ideal candidate should have experience working with large data sets……,162,5,7,6.0
Screen Magic Mobile Media Pvt. Ltd.,Pune,3 - 7 ,"To do well in this role, you need an excellent eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and……",158,3,7,5.0
Technocruitx Universal Services Private Limited,Pune,10 ,"Collaborate with data scientists, analysts, and other stakeholders to understand data requirements and implement data solutions that align with business needs.…",160,10,10,10.0
Solv,Noida,4 - 8 ,"Design functional specifications for integration of relevant data sources in the platform, including but not limited to customer transaction data, product……",156,4,8,6.0
GiBots,Pune,4 - 8 ,"Study and transform data science prototypes. Understanding of data structures, data modeling, and software. Proven experience as an ML/NLP or similar role.…",156,4,8,6.0
HERE Technologies,Navi Mumbai,4 - 6 ,"And integrate data, or create products. Supervisors or seniors and having passion for spatial data. 2 + years related work experience or equivalent combination……",161,4,6,5.0
Litmus7,Cochin,6 - 9 ,We are looking for aspiring data engineers and data scientists who have learnt data engineering or data science by themselves or are beginners.…,144,6,9,7.5
Mastercard,Gurgaon,4 - 10 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……",160,4,10,7.0
Saffo Solution Technology,Pune,4 - 8 ,Ability to understand and work with large disparate data sets and transform the information into clear insights for the business.…,130,4,8,6.0
AkzoNobel,Pune,2 - 4 ,"Provides data consultation, knowledge and expertise, resolves data conflicts, and responds to daily inquiries from the business to manage client level data……",157,2,4,3.0
DeepTek Medical Imaging,Pune,4 - 8 ,"Familiarity with working on image data sets, data pre-processing, feature extraction, and model evaluation techniques.…",119,4,8,6.0
KnowDis,New Delhi,3 - 7 ,KnowDis is looking for Data Science and Machine Learning experts with at least 2 years hands-on Python coding experience in a Machine Learning domain.…,151,3,7,5.0
Hutech Solutions,Bengaluru,4 - 6 ,"Design, develop, and deploy AI/ML models and algorithms to address business problems. Collaborate with data engineers and data scientists to collect, clean, and……",162,4,6,5.0
AXA,Gurgaon,3 - 6 ,"As we develop a Global Claims data and analytics strategy that moves us toward a greater focus on the use of data and data-driven insights, we are seeking a……",158,3,6,4.5
Soothsayer Analytics,Hyderābād,5 - 7 ,"Reframe business, and product objectives as machine learning tasks that can deliver actionable insights and accurate predictions. NLP experience is a plus.…",156,5,7,6.0
ADCI MAA 12 SEZ,Chennai,2 - 3 ,"Deliver high-quality labelled data, using guidelines provided to meet our KPIs, and using in-house tools and software.…",119,2,3,2.5
NielsenIQ,Chennai,4 ,Responsible for timely delivery of data with high quality. Should be flexible with respect to shift timings. Interest in keeping up with Market Research Domain.…,161,4,4,4.0
Tata Insights and Quants,Jamshedpur,4 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……",158,4,4,4.0
ADCI - Haryana,Gurgaon,2 - 3 ,Proactively raises issues /alarms that may have an impact on core deliverables or operations to manager or stakeholders. Basic level of Excel knowledge.…,153,2,3,2.5
"ESRI, Inc.",New Delhi,9 - 10 ,"Experience working in an Agile/Scrum development process. If you are passionate about geospatial AI, have a deep understanding of the product and customer needs……",162,9,10,9.5
Rezo.ai.,Noida,8 - 9 ,"As a Data Analyst, you will play a critical role in analyzing and interpreting data to provide valuable insights that will drive informed business decisions.…",158,8,9,8.5
Hitech Digital Solutions LLP,India,35 ,"Generating the right data sets for BD purposes; through web research and multiple social media. Exposure in dealing with international clientele over phone,……",158,35,35,35.0
TCG Digital,Calcutta,5 - 9 ,"Experience of at least 2 full cycle data science/ predictive analytics/ statistical modelling projects, at least 3 years of data science and statistical……",154,5,9,7.0
Nestle Operational Services Worldwide SA,Bengaluru,3 - 8 ,"You will work with internal & external development teams and the business to design and develop high-performing analytics products at scale, enabling our……",155,3,8,5.5
RChilli Inc.,Mohali,4 - 7 ,"Additionally, certifications, online boot camps, or training in data mining tools, algorithms, and machine learning techniques can further enhance the……",152,4,7,5.5
Applied Cloud Computing,Bengaluru,7 - 8 ,Highly proficient in generating business insights from Data :- Minium 3 years. Comfortable in independently executing a data science project end to end.…,153,7,8,7.5
LT Technology Services,Bengaluru,4 - 8 ,Familiar with analyzing materials such as those found in Lithium ion. Flexible and adaptable to working on new tasks. Experience : 5 to 10 Years.…,146,4,8,6.0
Adcuratio Media Inc,Jaipur,3 - 10 ,Familiarity or industry experience in Python development. Develop and maintain software applications using Python and web frameworks.…,134,3,10,6.5
Microsoft,Bengaluru,2 - 10 ,Strong computer science fundamentals and proven algorithm design capability. If you need assistance and/or a reasonable accommodation due to a disability during……,162,2,10,6.0
Adhyayan IT Institute & Placement,India,3 ,Stay updated on industry trends and emerging technologies to ensure training content remains current and relevant.…,115,3,3,3.0
Amagi,Bengaluru,5 - 8 ,Candidate needs to be very comfortable with linux and build command-line interfaces for the solutions. We need rapid prototyping and being a good coder will……,158,5,8,6.5
Hexanika,Pune,3 - 8 ,"To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and……",156,3,8,5.5
EVC Ventures,Gurgaon,4 - 6 ,Use your expertise in NLP/data science to propose a solution which will add value to the business. Experience of working on a project end-to-end: problem……,155,4,6,5.0
Outsourcing hemocean,Bhopal,50 - 90 ,Create excellent student learning experience. Delivery of sessions on syllabus as per university norms. Managing student discipline and learning experience.…,157,50,90,70.0
iCRC,Bengaluru,4 - 6 ,Interact with internal and client teams to identify questions and issues for data analysis and experiments. Collaborate with subject matter experts to deliver……,160,4,6,5.0
Nettech India,India,25 - 50 ,"Teach PYTHON programming , machine learning and AI,SQL. Good knowledge in python , machine learning . B.E./M.E. (Computer Science/Electronics/Mechanical……",154,25,50,37.5
MISD - Management Institute of Skill Development,New Delhi,15 - 25 ,Stay up to date with the latest industry trends and further incorporate them into the training content structure. Collaborate with stakeholders and trainers.…,158,15,25,20.0
Mastercard,Gurgaon,2 - 3 ,"We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.…",153,2,3,2.5
BDIPlus,Gurgaon,5 - 15 ,"Combining our unmatched technical skills with our rigorous understanding of each client’s institutional context and unique opportunities for betterment, we help……",162,5,15,10.0
ABB,Bengaluru,3 - 9 ,"Collaborating with cross-functional teams, including business analysts, data engineers and domain experts to understand business objectives and developing data……",161,3,9,6.0
Transaction Network Services,Noida,5 - 8 ,As a Data Engineer you will initially focus on collecting and analyzing data from our international sources as well as supporting the senior staff of data……,156,5,8,6.5
Nissan,Thiruvananthapuram,2 - 8 ,"Knowledge on software engineering best practices, data design patterns and standards. Knowledge, understanding & experience of working with data processing……",157,2,8,5.0
Reyedin Techstack Private limited,New Delhi,30 - 40 ,Problem-Solving Skills: Ability to solve data-related challenges and provide innovative solutions to practical problems. Total work: 1 year (Preferred).…,153,30,40,35.0
Wizikey,Gurgaon,4 - 8 ,"As a Business Analyst, you will collaborate with various stakeholders to analyze and define business requirements, identify opportunities for process……",151,4,8,6.0
"SRM Institute of Science and Technology, Kattankulathur Campus",India,4 ,Ensuring that the data is accurate and high-quality. Extracting data from primary and secondary sources and removing corrupted data. Experience: *1 to 5 years.…,160,4,4,4.0
KPMG,Pune,3 - 8 ,KPMG India values diversity and we request you to submit the details below to support us in our endeavor for diversity.…,120,3,8,5.5
TaskUS,Haryāna,8 - 9 ,As a leader you will also be responsible for all standards that apply to the function and ensure that KPIs are tracked and actioned in order to drive service……,159,8,9,8.5
SCIENCE AND TECHOLOGY RESEARCH ORGANIZATION PVT. LT,India,15 - 40 ,"Science and Technology Research Organisation (Pvt) Ltd,. Total work: 1 year (Preferred). Gandhipuram, Coimbatore, Tamil Nadu (Required).…",137,15,40,27.5
GenieTalk,Indore,6 - 8 ,We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.…,133,6,8,7.0
InstaTalent Recruit,Gurgaon,4 - 8 ,"Develop data models for an enterprise data warehouse (EDW). Investigate, recommend and implement data ingestion and ETL performance improvements.…",146,4,8,6.0
ADCI - Tamil Nadu,Chennai,5 - 10 ,"Define a long-term science vision and roadmap for the team, driven fundamentally from our customers' needs, translating those directions into specific plans for……",162,5,10,7.5
Linxon,Chennai,3 - 7 ,"If you like new challenges, have an entrepreneurial spirit, and are interested in working with other motivated professionals with expertise in the Substations……",160,3,7,5.0
Dun & Bradstreet,Hyderābād,7 - 9 ,"You will be responsible for the analysis, operation and maintenance of the Data Management processes, creation of new data processes to meet business data……",156,7,9,8.0
GNV JEWELLERS,Srikakulam,4 ,Total work: 3 years (Required). Implement and maintain data quality standards. Cleanse and transform data sets to prepare them for analysis.…,141,4,4,4.0
I-TECH COMPUTER EDUCATION,India,13 - 40 ,"Defining and leading our strategy in making data science easy and accessible to all. Excellent understanding of data visualization, data storytelling, and how……",160,13,40,26.5
Gartner,Gurgaon,9 ,"In the role of Data Scientist, you will execute large scale, high impact data modeling projects with responsibility for designing, developing, validating,……",156,9,9,9.0
Testbook,Navi Mumbai,7 - 9 ,Must be flexible with working hours as per business demands 6 days working. You train under the best mentors and become an expert in your field in your own……,157,7,9,8.0
Denave,Noida,6 - 10 ,"Work alongside a team of Data Scientists, Python Programmers, and Data Analysts for supporting business analytics and product platform data science requirements……",162,6,10,8.0
Informa Group Plc.,Bengaluru,4 - 7 ,"Responsible for Canalys' Global Mobility Research services, including quarterly reports on vendor performance and others, for all categories across our client……",160,4,7,5.5
IT Education Centre & Training,Pune,1 - 7 ,"Designation – Python/Data Science Trainer. Key skill- Python, Django Framework, Machine Learning, Data Science, Artificial Intelligence and R Programming.…",155,1,7,4.0
ExxonMobil,Bengaluru,8 - 9 ,"Design, build, and execute studies using proprietary or commercial tools to provide insights including calibrating models to field data and providing field……",157,8,9,8.5
YuktaMedia,Pune,3 ,"1] Hands-on experience working on stored procedures, functions, cursors, etc. 2] Hands-on experience working on creating indexes, triggers, SQL sub-queries.…",157,3,3,3.0
PharmaACE,Pune,8 - 9 ,"If you are keen to work on analytical problem solving, then work in advance data analytics/sciences. Exploring and visualizing data to gain an understanding of……",161,8,9,8.5
Dow Jones,New Delhi,8 - 10 ,Candidate will also prepare top class presentations that the product experts use for client discussions and business development. Paid Time Off and Leaves.…,156,8,10,9.0
Sciera,Chennai,5 - 9 ,We are looking for a Data Scientist to analyze large amounts of raw data to find patterns that will help improve our client’s business processes.…,146,5,9,7.0
Login360,India,20 - 25 ,*Enhancing data collection procedures to include information that is relevant for building analytic systems*. *Extending company’s data with third party sources……,162,20,25,22.5
TECHOLAS TECHNOLOGIES,Cochin,15 - 30 ,"Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine……",157,15,30,22.5
ADCI - Haryana - D50,Gurgaon,2 - 3 ,Proactively raises issues /alarms that may have an impact on core deliverables or operations to manager or stakeholders. Basic level of Excel knowledge.…,153,2,3,2.5
Farmkart,Indore,6 - 8 ,Develop and execute a data strategy that aligns with Farmkart business objectives. Your role is crucial in harnessing the power of data to make informed……,154,6,8,7.0
Exusia,Remote,13 - 28 ,"Full-time job to work with Exusia's global (Americas, Europe, Africa, Asia) clients to deliver on bleeding-edge data-driven solutions by performing business……",158,13,28,20.5
TechieShubhdeep IT Solutions Pvt. Ltd,Gwalior,5 - 15 ,"We are seeking a highly motivated and skilled Data Analyst to join our team As a Data Analyst, you will be responsible for collecting, processing, and analyzing……",162,5,15,10.0
Wise Monk,Gurgaon,3 - 7 ,"In the case of exceptionally good candidates with proven track records and relevant experience, the educational criteria can be relaxed.…",137,3,7,5.0
Fortrea,Bengaluru,5 - 8 ,"And / or data inconsistencies that require further investigation. Generate, resolve and track queries to address problematic data identified during data review……",161,5,8,6.5
GlobalOneServices,Hyderābād,15 - 25 ,"Salary: ₹15,000.00 - ₹25,000.00 per month. To Train students in the subject of AI. To Train students in the subject of Data Science.…",133,15,25,20.0
NetCom Learning,New Delhi,4 - 6 ,"Ultimately, you will enhance our business intelligence system to help us make better decisions. If you also have a business acumen and problem-solving aptitude,……",162,4,6,5.0
Valiance Solutions,Noida,8 - 10 ,"Using strong data science, data engineering & cloud engineering. 3 Be a part of company's. FOLLOW US | Visit us at- www.valiancesolutions.com. V A L I A N C E.…",160,8,10,9.0
Tata Insights and Quants,Jamshedpur,10 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……",158,10,10,10.0
Providence Global Center,Hyderābād,3 - 4 ,"The Providence Digital Innovation Group is a team of strategists, software engineers, marketers and investors focused on digital innovation that further……",154,3,4,3.5
Aptus Data LAbs,Bengaluru,8 ,[3] Perform predictive & prescriptive analysis and influence business users. Excellent collaboration skills and working comfortably across product team and……,157,8,8,8.0
Microsoft,Hyderābād,2 - 9 ,"If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.…",152,2,9,5.5
Aml Rightsource Llc,Noida,5 - 8 ,"Using a blend of highly trained anti-financial crime professionals, cutting-edge technology tools, and industry-leading consultants, we help clients with their……",161,5,8,6.5
Borek Solutions,Vadodara,3 - 6 ,"Data Analysis, data extraction, data collection, data cleaning, data processing, interpreting data, streamlining data, data analysis using excel , statistics to……",162,3,6,4.5
"Medpace, Inc.",Thāne,2 - 8 ,We invite you to be a part of something that is impacting millions of people around the globe while enjoying a competitive total compensation and benefits……,156,2,8,5.0
NielsenIQ,Gurgaon,4 - 8 ,Should be flexible with respect to shift timings. Common business language knowledge (English): speaking and writing with fluency.…,131,4,8,6.0
One Sigma Technologies,Bengaluru,6 - 10 ,"As Risk Analyst, you will be passionate about quantitative analytics as well as advanced analytical tools/techniques that help enhance the risk assessment……",156,6,10,8.0
Fulcrum Digital,Gurgaon,5 - 7 ,"These services have applicability across a variety of industries, including banking & financial services, insurance, retail, higher education, food, healthcare,……",162,5,7,6.0
Wipro,Gurgaon,3 - 7 ,"Supporting engagement with stakeholders and internal customers toprovide a clear perspective on the business issues, challenges andopportunities available to……",159,3,7,5.0
Bombay Play,Bengaluru,2 ,You will find that this role will challenge you to combine your computational & statistical skills with your ability to communicate the story behind the data.…,159,2,2,2.0
Taiyo.Ai,Remote,19 - 54 ,"Collaborative Research: Partner with other research institutions, universities, and organizations for comprehensive studies and knowledge sharing.…",147,19,54,36.5
Recruitment Smart,Ahmedabad,3 - 6 ,Conduct ad-hoc analyses and studies as directed by management on priority projects. This person is expected to be comfortable working with large real-life……,156,3,6,4.5
IBM,Bengaluru,5 - 10 ,"As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and……",153,5,10,7.5
Ingram Micro,Chennai,2 ,Ingram Micro's Insights & Recommendation (InR) practice is a profit generating strategic department that provides IT channel stakeholders with the insights and……,161,2,2,2.0
EdCEPT LEARNING PRIVATE LIMITED,Hyderābād,"1,000.00 Per hour ","The trainer will be responsible for evaluating our needs and current practices and creating and delivering a training development plan complete with materials,……",161,1000,1000,1000.0
Snapminds,Bengaluru,10 ,"Build ML models, prepare data for models. Data science techniques : Data mining/Regression/Random Forest/ Text Mining/ Vector Models, Deep Neural Network, cloud……",162,10,10,10.0
G2,Bengaluru,6 - 10 ,Translate business requirements into technical solutions by working with the business and senior data scientists. Modeling and Statistical Analysis (50%):…,155,6,10,8.0
