Name,Location,Salary,Description
Tata Elxsi,Bengaluru,2 ,"Leveraging a broad range of data architecture strategies and proposing data flows and storage solutions. Build, design and implement a highly scalable, fault……"
Lenskart,Gurgaon,5 - 9 ,"Identify key metrics, conduct rigorous exploratory data analysis, create executive facing dashboards and build business cases that drive decision making and……"
CADDCENTRE TRAINING SERVICE PVT LTD,India,20 - 25 ,Post: Data science and business analytics faculty (Part Time) (Weekends). Expected hours: No less than 10 per week. Total work: 1 year (Preferred).…
Moonpreneur,Gurgaon,3 - 5 ,Bachelor’s degree in science/technology or higher education. Make sure that marketing data sheets are up to date and all customer data is getting into the CRM……
Certara,Secunderābād,3 - 5 ,"Knowledge of statistics, data management tools like R is an added advantage. Basic understanding of Information science, Systematic Literature review, Health……"
Edwards India Private Ltd,Pune,5 - 10 ,A good understanding of how data solutions satisfy business requirements and the consequences of sub-optimal design. Familiaity with Python or R.…
Anblicks,Hyderābād,6 - 8 ,"At least 2 years of experience in data science in rolling out production grade solutions to end customers. Total of 3-5 years of Big Data, Business Intelligence……"
Tops infosolutions Pvt Ltd,Ahmedabad,30 ,"2+ years of work experience in the fields of information science, data management and/or computer science. Able to perform data enrichment/enhancements; data……"
Ericsson,Noida,4 - 9 ,Find probable features and further needs of inputs Feature engineering and feature selection or engineering network architecture Selection of hypothesis set and……
Brandmuscle,Bengaluru,6 - 8 ,Working with business stakeholders to define and ideate data science based solutions to existing business problems.…
TMI Group,New Delhi,10 - 12 ,"Passionate about new technology trends in managed services & aviation industry. This is an entry level position, with experience from 0 to 1 year.…"
Ambee,Bengaluru,5 - 8 ,"If you are that person and want to join Ambee for a specific role, then write to us at hr@getambee.com. Extend the company’s data with third-party sources of……"
Shreejan Associates,Bengaluru,4 - 6 ,Proven experience in data creation and manipulation using Excel and other data processing tools. We are seeking a highly organized and detail-oriented Data……
Deliveroo,Hyderābād,5 - 10 ,Excellent people skills — you'll be meeting with stakeholders to translate business needs into data science problems.…
PayU,Bengaluru,2 - 8 ,"Your primary focus will be to propose innovative ways utilizing various data sources and analytics to look at the problems by applying data mining techniques,……"
Nielsen,Mumbai,4 - 6 ,"Evolving client needs, underlying data, and their data science skills to apply the latest methodologies. Transformations in the market research industry with……"
Enlyft,Pune,5 - 7 ,"Our machine learning based models work by combining data from our customer's CRM with our proprietary technological graph and firmographic data, and reliably……"
Ignitho,Chennai,7 - 10 ,"Strongly prefer Computer Science Graduates - BE, MCA, ME related to Information Technology. Good knowledge on Program Design, develop and building software……"
Citi,Bengaluru,4 - 5 ,"USPBA – Data Science team analyzes millions of prospects and billions of customer level transactions using big data tools and machine learning, AI techniques to……"
Experian,Hyderābād,6 - 8 ,Configuration of the product to deliver excellent client outcomes. The delivery analyst will work from requirements from the client and interpret these and……
Milliman,Gurgaon,3 - 4 ,"Through our powerful combination of subject matter expertise, data management, and advanced analytics, we provide our clients with tools to analyze their……"
Kpro Solutions,Bengaluru,5 - 8 ,"Minimum of 9 years- experience using data science and modelling tools such as SAS, SPSS, Python or R against large data sets, with demonstrable expert-level……"
T-Systems ICT India Pvt. Ltd.,Pune,4 - 8 ,"Stay up to date with the latest AI trends and technologies, incorporating them into project development. Create robust and efficient Python code for various……"
Propellum Infotech Private Limited.,India,10 ,"Knowledge of *HTML an added advantage*. Must have *excellent verbal and written communication skills*. Work closely with development, product management, and……"
Smart Ship,Pune,5 - 10 ,"Formulates and leads guided, multifaceted analytic studies against large volumes of data. Experiments against data points, provide information based on……"
MARGDARSHAK,Tīra Sujānpur,12 ,It's a educational institute so that Faculty have to be full-timer and should be good in practicals.…
Technix Technology Pvt. Ltd,Patna Rural,4 - 10 ,"The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data……"
Tata Insights and Quants,Jamshedpur,10 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……"
IronList,Ahmedabad,3 - 8 ,"Interpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection systems, data analytics……"
Astegic,Jaipur,4 - 5 ,"The data analyst will follow an agile iterative development methodology with a focus on innovation, data quality, user value, and robust data analysis.…"
Xplor,Pune,5 - 8 ,"Responsibilities include designing, creating, and maintaining business intelligence assets and reports that drive innovation, client value and business……"
Fortrea,Pune,3 - 4 ,O Data entry of safety data onto adverse event tracking systems.  Perform case intake and triage of the incoming safety information or reports from various……
IT education centre,Pune,15 - 18 ,"Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required).…"
HR CLICK,India,10 - 25 ,Stay informed about industry trends and emerging technologies in data analysis. The Data Analyst will play a key role in providing actionable insights that……
Transorg Analytics,Gurgaon,7 - 10 ,Executing the data-driven planning process by building models and frameworks that connect business unit drivers to company financials and forecast to take the……
Genpact,Calcutta,3 - 7 ,There’s further scope to support more ad hoc requests like offering insightful decision support and producing competitor intelligence.…
JPMorgan Chase & Co,Bengaluru,4 - 8 ,As a Client Data Associate in the Wholesale KYC Operations Data & Reporting Team you will be part of a high performing team of data management professionals……
LanceTech Solutions Pvt Ltd,Bengaluru,15 - 20 ,"Determines the appropriate design for ETL applications based on information gathered including data sources, data targets, data definitions, data relationships,……"
Eoraa & Co.,New Delhi,3 - 7 ,Proficient with Python/R. Strong communication and presentation skills. Knowledge of various analytical approaches.…
Prime Services Private Limited,Indore,10 - 14 ,Collaborate with cross-functional teams to deliver data solutions. DATA ENGINEER: 3 years (Preferred). Automate data workflows for efficiency.…
AiDash,Gurgaon,7 - 9 ,We build solutions that provide meaningful insights into customer environments and help them take intelligent decisions and initiatives to save millions of……
WSD Consultant,Bengaluru,5 - 8 ,"About Company Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working……"
Webandcraft,Thrissur,3 - 7 ,You will work closely with cross-functional teams to develop and deploy data science solutions that contribute to the achievement of our business goals.…
Emerging India Group,Noida,30 - 50 ," Candidate must have 3+years’ experience of working on Machine learning, Deep Learning, and Artificial Intelligence tools in the industry.…"
DataSturdy Consulting Private Limited,Bengaluru,6 ,"Monitoring AI Solution Effectiveness:*Continuously monitoring the accuracy and effectiveness of deployed AI solutions, ensuring optimal performance over time.…"
Phygital Insights,Bengaluru,5 - 8 ,Expert level knowledge of Python (for data science). Data scientist with good experience on modelling and data processing using scala spark/pyspark.…
Mastercard,Pune,1 - 3 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……"
Unilever,Bengaluru,10 ,Build workflows for data analysis of omics data using the best-in-class packages available. Interested to develop knowledge and understanding of current and……
Prepladder,Chandigarh,5 - 9 ,Maintain raw data to ensure all information is readily available when required. Experience in data models and reporting packages.…
Codnext IT Services,Bengaluru,8 - 16 ,"Collaborate with other data scientists, product owners, and business/engineering teams to turn data into valuable and actionable insights for our customers.…"
AXA,Gurgaon,5 - 10 ,The successful candidate will exhibit strict adherence to corporate standards for secure platform design and data access and show a commitment to best practices……
Alcon,Bengaluru,6 - 7 ,"If you have encountered a job posting or been approached with a job offer that you suspect may be fraudulent, we strongly recommend you do not respond, send……"
Blue Data Consulting,Delhi,40 - 60 ,How many years of experience do you have working as Sr. Data Scientist? Collaborate with cross-functional teams to integrate data science solutions into cloud……
Flexday,Hyderābād,3 - 6 ,"As a Data Science Developer, you will be responsible for developing and implementing machine learning models and data-driven solutions.…"
Intelligence Node Consulting,Mumbai,10 ,"A minimum of 3-9 years of experience in Data Science with a strong understanding of Python and its data science libraries such as NumPy, Pandas, and Scikit……"
MMStartup,Chennai,2 ,Proven track record of working with large datasets and delivering data-driven solutions. Experience in data manipulation and cleaning.…
Air India,Gurgaon,5 - 7 ,We are seeking a skilled data scientist with 10-15 years of experience to join our team. The ideal candidate should have experience working with large data sets……
Screen Magic Mobile Media Pvt. Ltd.,Pune,3 - 7 ,"To do well in this role, you need an excellent eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and……"
Technocruitx Universal Services Private Limited,Pune,10 ,"Collaborate with data scientists, analysts, and other stakeholders to understand data requirements and implement data solutions that align with business needs.…"
Solv,Noida,4 - 8 ,"Design functional specifications for integration of relevant data sources in the platform, including but not limited to customer transaction data, product……"
GiBots,Pune,4 - 8 ,"Study and transform data science prototypes. Understanding of data structures, data modeling, and software. Proven experience as an ML/NLP or similar role.…"
HERE Technologies,Navi Mumbai,4 - 6 ,"And integrate data, or create products. Supervisors or seniors and having passion for spatial data. 2 + years related work experience or equivalent combination……"
Litmus7,Cochin,6 - 9 ,We are looking for aspiring data engineers and data scientists who have learnt data engineering or data science by themselves or are beginners.…
Mastercard,Gurgaon,4 - 10 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……"
Saffo Solution Technology,Pune,4 - 8 ,Ability to understand and work with large disparate data sets and transform the information into clear insights for the business.…
AkzoNobel,Pune,2 - 4 ,"Provides data consultation, knowledge and expertise, resolves data conflicts, and responds to daily inquiries from the business to manage client level data……"
DeepTek Medical Imaging,Pune,4 - 8 ,"Familiarity with working on image data sets, data pre-processing, feature extraction, and model evaluation techniques.…"
KnowDis,New Delhi,3 - 7 ,KnowDis is looking for Data Science and Machine Learning experts with at least 2 years hands-on Python coding experience in a Machine Learning domain.…
Hutech Solutions,Bengaluru,4 - 6 ,"Design, develop, and deploy AI/ML models and algorithms to address business problems. Collaborate with data engineers and data scientists to collect, clean, and……"
AXA,Gurgaon,3 - 6 ,"As we develop a Global Claims data and analytics strategy that moves us toward a greater focus on the use of data and data-driven insights, we are seeking a……"
Soothsayer Analytics,Hyderābād,5 - 7 ,"Reframe business, and product objectives as machine learning tasks that can deliver actionable insights and accurate predictions. NLP experience is a plus.…"
ADCI MAA 12 SEZ,Chennai,2 - 3 ,"Deliver high-quality labelled data, using guidelines provided to meet our KPIs, and using in-house tools and software.…"
NielsenIQ,Chennai,4 ,Responsible for timely delivery of data with high quality. Should be flexible with respect to shift timings. Interest in keeping up with Market Research Domain.…
Tata Insights and Quants,Jamshedpur,4 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……"
ADCI - Haryana,Gurgaon,2 - 3 ,Proactively raises issues /alarms that may have an impact on core deliverables or operations to manager or stakeholders. Basic level of Excel knowledge.…
"ESRI, Inc.",New Delhi,9 - 10 ,"Experience working in an Agile/Scrum development process. If you are passionate about geospatial AI, have a deep understanding of the product and customer needs……"
Rezo.ai.,Noida,8 - 9 ,"As a Data Analyst, you will play a critical role in analyzing and interpreting data to provide valuable insights that will drive informed business decisions.…"
Hitech Digital Solutions LLP,India,35 ,"Generating the right data sets for BD purposes; through web research and multiple social media. Exposure in dealing with international clientele over phone,……"
TCG Digital,Calcutta,5 - 9 ,"Experience of at least 2 full cycle data science/ predictive analytics/ statistical modelling projects, at least 3 years of data science and statistical……"
Nestle Operational Services Worldwide SA,Bengaluru,3 - 8 ,"You will work with internal & external development teams and the business to design and develop high-performing analytics products at scale, enabling our……"
RChilli Inc.,Mohali,4 - 7 ,"Additionally, certifications, online boot camps, or training in data mining tools, algorithms, and machine learning techniques can further enhance the……"
Applied Cloud Computing,Bengaluru,7 - 8 ,Highly proficient in generating business insights from Data :- Minium 3 years. Comfortable in independently executing a data science project end to end.…
LT Technology Services,Bengaluru,4 - 8 ,Familiar with analyzing materials such as those found in Lithium ion. Flexible and adaptable to working on new tasks. Experience : 5 to 10 Years.…
Adcuratio Media Inc,Jaipur,3 - 10 ,Familiarity or industry experience in Python development. Develop and maintain software applications using Python and web frameworks.…
Microsoft,Bengaluru,2 - 10 ,Strong computer science fundamentals and proven algorithm design capability. If you need assistance and/or a reasonable accommodation due to a disability during……
Adhyayan IT Institute & Placement,India,3 ,Stay updated on industry trends and emerging technologies to ensure training content remains current and relevant.…
Amagi,Bengaluru,5 - 8 ,Candidate needs to be very comfortable with linux and build command-line interfaces for the solutions. We need rapid prototyping and being a good coder will……
Hexanika,Pune,3 - 8 ,"To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and……"
EVC Ventures,Gurgaon,4 - 6 ,Use your expertise in NLP/data science to propose a solution which will add value to the business. Experience of working on a project end-to-end: problem……
Outsourcing hemocean,Bhopal,50 - 90 ,Create excellent student learning experience. Delivery of sessions on syllabus as per university norms. Managing student discipline and learning experience.…
iCRC,Bengaluru,4 - 6 ,Interact with internal and client teams to identify questions and issues for data analysis and experiments. Collaborate with subject matter experts to deliver……
Nettech India,India,25 - 50 ,"Teach PYTHON programming , machine learning and AI,SQL. Good knowledge in python , machine learning . B.E./M.E. (Computer Science/Electronics/Mechanical……"
MISD - Management Institute of Skill Development,New Delhi,15 - 25 ,Stay up to date with the latest industry trends and further incorporate them into the training content structure. Collaborate with stakeholders and trainers.…
Mastercard,Gurgaon,2 - 3 ,"We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.…"
BDIPlus,Gurgaon,5 - 15 ,"Combining our unmatched technical skills with our rigorous understanding of each client’s institutional context and unique opportunities for betterment, we help……"
ABB,Bengaluru,3 - 9 ,"Collaborating with cross-functional teams, including business analysts, data engineers and domain experts to understand business objectives and developing data……"
Transaction Network Services,Noida,5 - 8 ,As a Data Engineer you will initially focus on collecting and analyzing data from our international sources as well as supporting the senior staff of data……
Nissan,Thiruvananthapuram,2 - 8 ,"Knowledge on software engineering best practices, data design patterns and standards. Knowledge, understanding & experience of working with data processing……"
Reyedin Techstack Private limited,New Delhi,30 - 40 ,Problem-Solving Skills: Ability to solve data-related challenges and provide innovative solutions to practical problems. Total work: 1 year (Preferred).…
Wizikey,Gurgaon,4 - 8 ,"As a Business Analyst, you will collaborate with various stakeholders to analyze and define business requirements, identify opportunities for process……"
"SRM Institute of Science and Technology, Kattankulathur Campus",India,4 ,Ensuring that the data is accurate and high-quality. Extracting data from primary and secondary sources and removing corrupted data. Experience: *1 to 5 years.…
KPMG,Pune,3 - 8 ,KPMG India values diversity and we request you to submit the details below to support us in our endeavor for diversity.…
TaskUS,Haryāna,8 - 9 ,As a leader you will also be responsible for all standards that apply to the function and ensure that KPIs are tracked and actioned in order to drive service……
SCIENCE AND TECHOLOGY RESEARCH ORGANIZATION PVT. LT,India,15 - 40 ,"Science and Technology Research Organisation (Pvt) Ltd,. Total work: 1 year (Preferred). Gandhipuram, Coimbatore, Tamil Nadu (Required).…"
GenieTalk,Indore,6 - 8 ,We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.…
InstaTalent Recruit,Gurgaon,4 - 8 ,"Develop data models for an enterprise data warehouse (EDW). Investigate, recommend and implement data ingestion and ETL performance improvements.…"
ADCI - Tamil Nadu,Chennai,5 - 10 ,"Define a long-term science vision and roadmap for the team, driven fundamentally from our customers' needs, translating those directions into specific plans for……"
Linxon,Chennai,3 - 7 ,"If you like new challenges, have an entrepreneurial spirit, and are interested in working with other motivated professionals with expertise in the Substations……"
Dun & Bradstreet,Hyderābād,7 - 9 ,"You will be responsible for the analysis, operation and maintenance of the Data Management processes, creation of new data processes to meet business data……"
GNV JEWELLERS,Srikakulam,4 ,Total work: 3 years (Required). Implement and maintain data quality standards. Cleanse and transform data sets to prepare them for analysis.…
I-TECH COMPUTER EDUCATION,India,13 - 40 ,"Defining and leading our strategy in making data science easy and accessible to all. Excellent understanding of data visualization, data storytelling, and how……"
Gartner,Gurgaon,9 ,"In the role of Data Scientist, you will execute large scale, high impact data modeling projects with responsibility for designing, developing, validating,……"
Testbook,Navi Mumbai,7 - 9 ,Must be flexible with working hours as per business demands 6 days working. You train under the best mentors and become an expert in your field in your own……
Denave,Noida,6 - 10 ,"Work alongside a team of Data Scientists, Python Programmers, and Data Analysts for supporting business analytics and product platform data science requirements……"
Informa Group Plc.,Bengaluru,4 - 7 ,"Responsible for Canalys' Global Mobility Research services, including quarterly reports on vendor performance and others, for all categories across our client……"
IT Education Centre & Training,Pune,1 - 7 ,"Designation – Python/Data Science Trainer. Key skill- Python, Django Framework, Machine Learning, Data Science, Artificial Intelligence and R Programming.…"
ExxonMobil,Bengaluru,8 - 9 ,"Design, build, and execute studies using proprietary or commercial tools to provide insights including calibrating models to field data and providing field……"
YuktaMedia,Pune,3 ,"1] Hands-on experience working on stored procedures, functions, cursors, etc. 2] Hands-on experience working on creating indexes, triggers, SQL sub-queries.…"
PharmaACE,Pune,8 - 9 ,"If you are keen to work on analytical problem solving, then work in advance data analytics/sciences. Exploring and visualizing data to gain an understanding of……"
Dow Jones,New Delhi,8 - 10 ,Candidate will also prepare top class presentations that the product experts use for client discussions and business development. Paid Time Off and Leaves.…
Sciera,Chennai,5 - 9 ,We are looking for a Data Scientist to analyze large amounts of raw data to find patterns that will help improve our client’s business processes.…
Login360,India,20 - 25 ,*Enhancing data collection procedures to include information that is relevant for building analytic systems*. *Extending company’s data with third party sources……
TECHOLAS TECHNOLOGIES,Cochin,15 - 30 ,"Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine……"
ADCI - Haryana - D50,Gurgaon,2 - 3 ,Proactively raises issues /alarms that may have an impact on core deliverables or operations to manager or stakeholders. Basic level of Excel knowledge.…
Farmkart,Indore,6 - 8 ,Develop and execute a data strategy that aligns with Farmkart business objectives. Your role is crucial in harnessing the power of data to make informed……
Exusia,Remote,13 - 28 ,"Full-time job to work with Exusia's global (Americas, Europe, Africa, Asia) clients to deliver on bleeding-edge data-driven solutions by performing business……"
TechieShubhdeep IT Solutions Pvt. Ltd,Gwalior,5 - 15 ,"We are seeking a highly motivated and skilled Data Analyst to join our team As a Data Analyst, you will be responsible for collecting, processing, and analyzing……"
Wise Monk,Gurgaon,3 - 7 ,"In the case of exceptionally good candidates with proven track records and relevant experience, the educational criteria can be relaxed.…"
Fortrea,Bengaluru,5 - 8 ,"And / or data inconsistencies that require further investigation. Generate, resolve and track queries to address problematic data identified during data review……"
GlobalOneServices,Hyderābād,15 - 25 ,"Salary: ₹15,000.00 - ₹25,000.00 per month. To Train students in the subject of AI. To Train students in the subject of Data Science.…"
NetCom Learning,New Delhi,4 - 6 ,"Ultimately, you will enhance our business intelligence system to help us make better decisions. If you also have a business acumen and problem-solving aptitude,……"
Valiance Solutions,Noida,8 - 10 ,"Using strong data science, data engineering & cloud engineering. 3 Be a part of company's. FOLLOW US | Visit us at- www.valiancesolutions.com. V A L I A N C E.…"
Tata Insights and Quants,Jamshedpur,10 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……"
Providence Global Center,Hyderābād,3 - 4 ,"The Providence Digital Innovation Group is a team of strategists, software engineers, marketers and investors focused on digital innovation that further……"
Aptus Data LAbs,Bengaluru,8 ,[3] Perform predictive & prescriptive analysis and influence business users. Excellent collaboration skills and working comfortably across product team and……
Microsoft,Hyderābād,2 - 9 ,"If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.…"
Aml Rightsource Llc,Noida,5 - 8 ,"Using a blend of highly trained anti-financial crime professionals, cutting-edge technology tools, and industry-leading consultants, we help clients with their……"
Borek Solutions,Vadodara,3 - 6 ,"Data Analysis, data extraction, data collection, data cleaning, data processing, interpreting data, streamlining data, data analysis using excel , statistics to……"
"Medpace, Inc.",Thāne,2 - 8 ,We invite you to be a part of something that is impacting millions of people around the globe while enjoying a competitive total compensation and benefits……
NielsenIQ,Gurgaon,4 - 8 ,Should be flexible with respect to shift timings. Common business language knowledge (English): speaking and writing with fluency.…
One Sigma Technologies,Bengaluru,6 - 10 ,"As Risk Analyst, you will be passionate about quantitative analytics as well as advanced analytical tools/techniques that help enhance the risk assessment……"
Fulcrum Digital,Gurgaon,5 - 7 ,"These services have applicability across a variety of industries, including banking & financial services, insurance, retail, higher education, food, healthcare,……"
Wipro,Gurgaon,3 - 7 ,"Supporting engagement with stakeholders and internal customers toprovide a clear perspective on the business issues, challenges andopportunities available to……"
Bombay Play,Bengaluru,2 ,You will find that this role will challenge you to combine your computational & statistical skills with your ability to communicate the story behind the data.…
Taiyo.Ai,Remote,19 - 54 ,"Collaborative Research: Partner with other research institutions, universities, and organizations for comprehensive studies and knowledge sharing.…"
Recruitment Smart,Ahmedabad,3 - 6 ,Conduct ad-hoc analyses and studies as directed by management on priority projects. This person is expected to be comfortable working with large real-life……
IBM,Bengaluru,5 - 10 ,"As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and……"
Ingram Micro,Chennai,2 ,Ingram Micro's Insights & Recommendation (InR) practice is a profit generating strategic department that provides IT channel stakeholders with the insights and……
EdCEPT LEARNING PRIVATE LIMITED,Hyderābād,"1,000.00 Per hour ","The trainer will be responsible for evaluating our needs and current practices and creating and delivering a training development plan complete with materials,……"
Snapminds,Bengaluru,10 ,"Build ML models, prepare data for models. Data science techniques : Data mining/Regression/Random Forest/ Text Mining/ Vector Models, Deep Neural Network, cloud……"
G2,Bengaluru,6 - 10 ,Translate business requirements into technical solutions by working with the business and senior data scientists. Modeling and Statistical Analysis (50%):…
Peak AI,Pune,5 - 7 ,"Open - excellent verbal and written communication skills, including the ability to clearly communicate complex information to those in other disciplines.…"
Maruti Suzuki India Ltd,Bengaluru,7 - 9 ,Collaborate with different MSIL Departments for their data requests & build solutions that automate their daily tasks thereby saving man hours.…
Oracle,Bengaluru,5 - 8 ,We are part of OHAI Platform Data Science team working on diverse healthcare solutions to improve our healthcare products and deliver better patient care.…
UNESCO,New Delhi,5 - 9 ,Please note that only selected candidates will be further contacted and candidates in the final selection step will be subject to reference checks based on the……
Cognizant Technology Solutions,Pune,4 - 5 ,3 Identify and develop action plan in coordination with the TL for activities not meeting the client SLAs. Serve as an SME to Medical Reviewers regarding coding……
BNP Paribas,Mumbai,6 - 8 ,Manage the local Mumbai data science team. Deliver and maintain proper code following the LAB and Light IT guidelines and best practices of DevOps and MLOps.…
Growth Hub Consultants,New Delhi,4 - 7 ,These reports will further help us in taking appropriate decisions and provide direction to make better business decisions.…
Proclink,Ahmedabad,3 - 8 ,Experience of working with clients in financial services vertical is preferable. Ability to create decks for client presentations.…
Gigmo Solutions,Gurgaon,4 - 6 ,We are looking for an experienced Data Manager to oversee the development and use of data systems. Formulate techniques for quality data collection to ensure……
Acuity Knowledge Partners,Bengaluru,6 - 9 ,Act as a single point of contact for the various stakeholders from the client’s investment research business. Learn/apply cloud-driven transformative changes in……
Inventics,Lucknow,3 - 5 ,"Bachelor's degree in computer science, information science, or similar. Implementing effective security protocols, data protection measures, and storage……"
RealPage India,Hyderābād,8 - 9 ,"Stay Updated: Keep up to date with the latest Power BI features, best practices, and industry trends to continuously improve the quality and efficiency of data……"
RARR Technologies Pvt Ltd,Remote,29 ,Familiarity with data modeling and schema design. Strong understanding of data warehousing concepts and ETL processes.…
Pluralsight,Bengaluru,20 - 34 ,Stay active with our wellness program that allows you to expense your gym membership and other sports activities. *Good Experience with Kafka is required*.…
"Medpace, Inc.",Thāne,5 - 8 ,"General knowledge of clinical trial processes and/or experience working with clinical data. Our corporate activities are growing rapidly, and we are currently……"
Veniso Solutions,Hyderābād,3 - 6 ,Present information using data visualization tools. Graduate in the fields of computer science or engineering or degree in data science is preferred.…
Think Future Technologies,Gurgaon,5 - 6 ,"3+ years of experience in the field of Data Science. Good hands on knowledge on Python. Good understanding on on models like Time Series, Computer Vision,……"
M3USA,Bengaluru,4 - 6 ,"Resolve queries where possible & help to improve quality of the data,. Able to use a browser and basic business software (i.e., Excel).…"
JLL,Bengaluru,7 - 8 ,"Identify opportunities for data improvement: whether there's a data point missing, queries that are running slowly, or metrics that don't look quite right, and……"
Pivotchain Solution Technologies,Pune,5 - 8 ,"You are comfortable processing, cleansing, and verifying the integrity of data used for analysis. Past experience with Deep Learning/NLP would be an advantage ……"
Brainlabs,Bengaluru,3 - 7 ,"Lead all phases of product development, from capability definition and business solution design to data structuring, machine learning, and communicating……"
Energy Exemplar,Pune,7 - 8 ,Work together with data analysts and data scientists to wrangle the data and provide quality datasets and insights to business-critical decisions.…
Retisio,Bengaluru,6 - 7 ,Make sure you have the below fields mentioned in the body of the email along with an attached resume and send email to hr@retisio.com. What you will be doing:…
Emorphis Technologies,Indore,3 - 9 ,"Total work: 3 years (Required). Strong working knowledge in Deep learning and ML Algorithms. Strong working knowledge in Tensor Flow, Sci-kit Learn, KERAS,……"
HOME INTEL INDIA PRIVATE LIMITED,Chennai,4 - 7 ,Data science: 3 years (Required). 2+ years of experience with data science. Utilize data science knowledge and experience to provide the right solution……
PayU,Bengaluru,7 - 9 ,"Experience in working as a Big Data Engineer (Apache Spark, Hadoop ecosystem, Apache Kafka) : query tuning, performance tuning, troubleshooting, and debugging……"
Irizpro Learning Solutions,India,25 - 30 ,Relevant industry experience and certifications are sought but not mandatory. DA trainer will be working as a *subject matter expert and facilitator-trainer*……
Bristol Myers Squibb,Hyderābād,3 - 8 ,Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.…
Xenneo Technology,Noida,15 - 20 ,"Partner with business domain experts, system analysts, data/application architects, and engineering teams to ensure data design is aligned with business……"
Thermo Fisher Scientific,Bengaluru,7 - 8 ,"Familiarity with the use of spreadsheets, retrieval of data from web/data repositories, MS software, and image processing software is desired.…"
The Modern Dimension,Bengaluru,5 - 8 ,Manage the continuous improvement of data science and machine learning by following industry best practices and staying up-to-date with and extending the state……
The Economist Group LTD,Gurgaon,4 - 8 ,"Bachelor’s degree or higher in economics, public policy/administration, quantitative fields, social sciences or related fields.…"
Epsilon,Bengaluru,9 - 10 ,"The Manager, Data Science is responsible for delivery from multiple client accounts by working with Data Scientists and managing analytic initiatives from……"
Place Technology,Jaipur,5 - 7 ,"The role of the Data Engineer is to build systems that collect, manage, and convert raw data into usable information for data scientists and business analysts……"
ASSPL - Karnataka,Bengaluru,4 - 9 ,"As a Data Scientist in the team, you will be driving the analytics roadmap and will provide descriptive and predictive solutions to the development and business……"
Seagate Technology,Pune,7 - 10 ,Excellent technical skills with a proven and successful history working with data at scale and empowering organizations through data.…
KVCH,Noida,25 - 35 ,"We are looking to hire a *Data Science Trainer*. Candidate must have knowledge in *Data Science, ML, AI, Python, Advance Excel, VBA* , etc.…"
Shiro Software Solutions,Nagercoil,90 ,"Currently enrolled in a bachelor's or master's program in computer science, data science, engineering, or a related field. Total work: 1 year (Preferred).…"
GLOBALFOUNDRIES,Bengaluru,2 - 4 ,"Bachelor's degree in data science, data analytics, computer science, or other related engineering. Provide training and documentation on data analytic solutions……"
NEXTracker,Hyderābād,2 - 3 ,We're happy to provide reasonable accommodations to those with a disability for assistance in the recruitment process.…
Cellworks Research India,Bengaluru,4 - 7 ,"Study and transform data science prototypes . Select appropriate data sets and data representation methods. Understanding of data structures, data modeling and……"
Doyensys,Chennai,5 - 7 ,"Learning and Development: Stay updated with the latest database technologies, tools, and industry trends to continuously improve your skills.…"
Business Brio,Calcutta,3 - 8 ,"The person should interact directly with senior-level business executives of the client organization and understand the business requirements, collate,……"
Fractal Analytics,Bengaluru,7 - 10 ,"If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us! We’re building an incredible function from the.…"
Zessta,Hyderābād,4 - 7 ,"If you feel you are fit to be a part of this environment, write to us today at careers@zessta.com. Our passion lies in building solutions that modernize……"
Gartner,Gurgaon,9 ,Drive retention and growth by empowering service delivery groups and sales in some of our key initiatives. This team works on delivering valuable insights from……
Knoldus,Indore,6 - 8 ,"Collaboration: Collaborate with cross-functional teams, including data scientists, software developers, and domain experts to develop AI solutions that meet……"
CDM Smith,Bengaluru,6 - 10 ,"CDM Smith will conduct interviews of qualified individuals prior to requesting a criminal background check, and no job application submitted prior to such……"
Yara,Pune,5 - 6 ,To workout best value chain partners of the area/crop in the region and to develop good coordination with them to promote Yara business.…
Indeed,Bengaluru,42 - 63 ,"If you are requesting accommodation for an interview, please reach out at least one week in advance of your interview. Python Programming: 3 years (Required).…"
